Country name,Pred 2023,Pred 2024,Pred 2025,Pred 2026,Pred 2027,Pred 2028,True 2023,Squared Error
Ivory Coast,0.54626477,0.55233437,0.55454713,0.5553553,0.5556507,0.5557587,0.6019590382902938,0.0031018517825119043
Mexico,0.7873537,0.75483716,0.7393665,0.73207337,0.7286504,0.727047,0.8496586524191154,0.003881907788912132
Estonia,0.7656486,0.77187866,0.77504444,0.7766564,0.77747804,0.77789694,0.7641733452062927,2.1763868541475857e-06
Morocco,0.49738115,0.498895,0.4993203,0.49943975,0.4994733,0.49948272,0.4758088453547047,0.00046536435888156836
Australia,0.74115133,0.6939695,0.6748266,0.6671573,0.66410035,0.66288424,0.8524784802612051,0.012393733749552908
Mauritius,0.70722145,0.72958434,0.7407757,0.74641454,0.7492654,0.7507093,0.6645888987830217,0.00181753428867546
Argentina,0.7613236,0.7731386,0.77946407,0.78286374,0.7846948,0.7856821,0.7586821015138022,6.977362130251667e-06
Nigeria,0.5842845,0.57955974,0.57758915,0.5767686,0.57642704,0.5762848,0.5325022261798753,0.0026814022649717605
Philippines,0.6970714,0.6958433,0.69525075,0.694965,0.69482714,0.6947606,0.7276639952508163,0.0009359085078721332
Egypt,0.44191056,0.45183694,0.45468625,0.45550558,0.45574135,0.4558092,0.385871178391214,0.003140412840218857
Germany,0.7977711,0.8015097,0.80346113,0.80448115,0.8050148,0.805294,0.8178984861976848,0.0004051118269292434
Laos,0.5740648,0.5842884,0.588081,0.58949155,0.5900168,0.59021235,0.6240724250519442,0.002500763443215556
Sri Lanka,0.4172182,0.4211896,0.42218462,0.42243415,0.4224968,0.42251244,0.3444642327100029,0.005293140966039788
United Arab Emirates,0.7305307,0.6916279,0.67309165,0.66438127,0.66031516,0.65842277,0.8084001187295933,0.006063649608615978
Poland,0.7014761,0.6597118,0.6423844,0.6352858,0.63239276,0.63121617,0.8020184030869694,0.010108755291783136
North Macedonia,0.54039353,0.52840763,0.524491,0.5232152,0.52279985,0.52266484,0.6117542297417631,0.005092349278887977
Cambodia,0.46326274,0.4697547,0.4716285,0.47217026,0.47232702,0.47237232,0.4363312555654497,0.0007253046813432689
